Annual_Income_k$,Spending_Score
75,42
51,44
21,93
26,100
45,63
33,80
23,81
39,70
28,74
48,51
95,28
104,24
23,82
100,31
50,57
96,9
120,31
69,48
27,84
97,27
22,82
26,92
73,58
48,61
20,93
46,47
29,72
27,97
54,60
37,83
31,88
60,42
37,72
60,57
69,57
97,34
66,63
73,65
55,43
109,17
49,61
25,92
37,76
96,22
54,53
72,60
22,71
95,10
117,17
60,40
54,47
47,63
30,73
111,17
69,44
83,32
38,83
93,34
103,10
75,64
27,74
120,10
117,18
116,33
111,7
83,12
84,24
82,30
109,21
40,92
31,89
115,12
120,10
64,50
100,11
84,17
87,9
20,94
58,46
34,87
109,9
27,94
37,79
115,22
69,45
103,16
23,91
74,56
50,48
21,70
72,40
73,63
27,86
40,73
74,40
56,64
32,72
88,21
107,24
28,77
93,26
22,76
23,99
40,89
38,78
97,7
96,28
100,17
114,28
73,57
69,60
120,27
28,84
53,56
28,95
50,54
61,43
61,59
103,12
61,59
